name,rating,price_level,distance_km,total_reviews
New Amanda Wong Bakery,4.5,2,11.11,79
North Randall Garcia Eatery,4.5,1,5.31,5
East Krystal Taylor Lounge,4.5,1,14.48,79
Austinstad Gonzalez Diner,4.7,3,5.05,31
West Adam Moore Grill,4.2,2,6.91,7
East Andrew Guerrero Diner,4.4,3,7.15,47
Reyesbury Lopez Grill,4.4,2,6.33,14
Rodriguezmouth Thompson Tapas,4.9,3,12.09,173
East Valeriefort Ritter Bakery,4.4,2,12.01,25
North Amandastad Burnett Grill,3.8,3,7.73,5
New Jamesfort Boyer Bakery,3.0,3,7.1,25
East Theresaton Fischer Bakery,4.7,2,10.43,8
East Robertfort Johnson Bistro,3.3,1,9.34,90
Port Derek Alvarez Diner,4.5,2,8.38,24
Port Michaelchester Cook Grill,4.0,3,9.05,53
Dominiqueport Thompson Café,4.4,2,5.1,21
Perryhaven Woodward Diner,3.4,3,5.59,342
Curtisville Gordon House,4.6,2,6.23,31
Markhaven Salas Café,4.4,3,12.88,28
Lorihaven Lyons Bar,4.5,3,5.59,5
Hartbury Harris Bakery,3.7,3,6.8,86
South William Young Bakery,3.7,1,7.32,153
North Amymouth White Diner,3.6,2,10.73,26
Moranhaven Jones Bar,4.6,0,6.26,40
Port Kimberly Wallace Grill,4.6,1,2.95,16
West Harrychester Stevens Bistro,4.3,2,10.71,45
Lake Kevinmouth Stone Bakery,4.8,1,1.33,49
North Collinhaven Salazar Eatery,4.4,3,2.34,27
Bergerberg Smith House,4.0,1,6.46,55
Paynetown Williams Tapas,4.5,2,4.16,38
Dianaburgh Coleman Café,3.8,3,9.43,9
Cookbury Mcclure Lounge,4.7,3,7.43,5
Julieland Fischer Bistro,4.6,2,8.03,5
Sharonland Gillespie Bakery,3.8,2,4.43,69
North Joseph Lane Tapas,4.0,2,10.71,34
Josephborough Thomas Grill,4.8,1,5.55,38
Barbarabury Gonzalez Bistro,4.2,3,11.82,197
Benjaminstad Bolton House,4.8,2,9.59,71
Jameston Sherman Kitchen,3.2,2,12.64,21
Hopkinsland Moyer House,3.5,2,12.04,85
New Georgemouth Smith Bar,4.7,1,9.73,60
North Emilyville Nguyen Eatery,4.6,3,6.92,192
Randychester Powell Bakery,4.2,2,11.11,46
Romeroborough Estes Grill,4.1,2,9.86,5
Coxmouth Jordan Bakery,3.8,2,11.69,28
East Samuelfort Smith Eatery,4.2,1,10.26,11
North Christy Vasquez Tapas,4.6,3,6.0,47
North Emily Payne House,4.8,0,9.35,118
Hayesfort Goodwin Grill,4.7,3,8.51,29
Mullinsport Campbell Bistro,4.4,1,8.6,5
Goldenbury Wright Lounge,4.9,1,5.26,13
Michaelberg Huang Eatery,3.5,2,6.16,256
East Garytown Medina House,4.8,2,13.37,106
North Rachel Clay House,4.7,4,7.22,1549
North Janestad Torres Tapas,4.5,2,10.8,5
Breannamouth Rice Café,4.9,3,8.42,11
Gardnerside Medina Grill,4.6,1,5.21,52
Deniseside Jones Café,4.4,2,5.65,11
Lake Joseph Rodriguez Kitchen,3.7,1,5.47,31
Cynthiaborough Novak Lounge,4.4,4,1.17,9
Herreramouth Miranda Lounge,4.5,2,3.7,11
Christianfort Copeland Bar,4.2,1,5.88,122
New Charlesview Rivera Eatery,4.1,2,7.07,216
Port Vanessa Huff Diner,4.6,1,0.29,131
Stevenchester Carney Bistro,4.2,2,10.57,8
New Joshua Harrison Tapas,4.5,3,3.71,137
Williamston Lucas Eatery,4.8,2,10.35,86
Noahchester Hernandez Lounge,4.9,3,13.77,9
Aaronstad Johnson Bar,4.3,2,3.7,18
Heathberg Hubbard Bistro,4.2,2,3.71,42
West Brandonfort Jimenez Diner,4.0,2,7.04,46
Vaughnport Miller Lounge,4.0,1,8.64,27
North Jacqueline Burnett Café,4.2,2,6.81,8
Jeffreyview Gould House,4.7,1,7.84,10
Lake Brenda Williams Café,4.8,2,11.8,5
West Karen Ellis Bar,3.8,3,3.1,92
Kimberlyville Ware Kitchen,3.9,0,7.23,42
South Lesliemouth Nguyen Eatery,4.4,4,11.56,22
Watsonchester Knight Diner,4.8,2,7.68,5
New Marcusside Deleon Bakery,4.9,1,2.84,160
Edwardston Ross Kitchen,4.7,2,4.35,105
Port Susan Maldonado Tapas,3.6,2,10.07,11
South Philip Jones Kitchen,4.6,2,7.32,42
West Robertaland Contreras Bistro,4.6,0,7.72,22
Meganport Chambers Bar,4.0,3,9.66,25
Bankston Johnson Tapas,4.5,1,0.88,5
Coryborough Rodriguez Diner,4.9,2,1.87,137
New Amanda Cole Kitchen,3.6,3,3.08,24
Lake Scott Hill House,4.6,1,6.22,42
Christopherbury Coffey Bistro,4.6,2,7.12,81
New Kara Nguyen Bar,4.7,4,7.65,38
Joshuastad Hull House,4.5,3,4.04,161
Lake Paulfurt Matthews Grill,4.2,1,7.59,26
Lake Shelbytown Nichols Kitchen,4.5,1,4.5,11
New Traciville Barnes Café,4.3,1,10.39,23
West Katieland Webster Café,4.5,1,8.05,5
West Tammiemouth Rios Lounge,4.4,2,6.56,65
West Jonathan Odonnell Bistro,3.9,2,0.61,33
East Benjaminberg Mitchell Eatery,4.7,1,9.81,15
North Amandaport May Tapas,4.2,3,4.73,27
South Amberbury Hall Tapas,4.9,4,7.55,247
New Richard Miller Bakery,4.7,1,3.22,34
Riveraborough Waller Tapas,4.4,1,9.02,22
South Nathanville Morris Kitchen,4.0,2,10.97,22
East Jessica Brown Eatery,3.0,3,11.38,38
East George Jones Lounge,4.5,4,6.05,214
Davistown Sheppard Kitchen,4.9,4,3.79,49
South Michelestad Garcia Bistro,4.7,1,7.79,34
Williamsbury Ramirez Bar,4.9,3,10.59,28
Reynoldsborough Davis Bar,3.3,1,3.09,60
Morristown Lynch Bakery,3.6,1,4.25,73
Lambtown Lutz Eatery,4.0,1,10.38,43
Duffyview Chaney Eatery,4.0,1,11.41,74
Lake Marc Singh Bakery,4.5,2,8.84,21
North Shannonmouth Maxwell Bar,4.2,2,9.68,58
Mooreton Robles Lounge,4.3,2,3.92,148
East Gregoryfort Hampton Tapas,3.5,4,12.68,33
Port Brittany Williams Lounge,4.5,3,6.25,29
Scottside Cooke Grill,4.7,1,6.15,9
South Eric Norman Bakery,4.6,4,7.74,106
Marytown Maxwell House,3.9,2,6.5,116
Odonnellhaven Wallace Tapas,5.0,1,9.72,38
Aprilshire Doyle Grill,4.8,3,0.6,7
West Amy Young Bistro,3.8,1,6.6,9
South Samantha Adams Grill,4.2,1,8.59,15
Lake Ashleyland Schroeder Bakery,4.7,2,8.69,11
New Elaine Hart Eatery,4.5,1,0.96,5
West Brittneyborough Armstrong Eatery,3.4,0,6.46,67
New Courtney Newman Bakery,4.1,1,7.21,165
Maddoxborough Mccoy Bistro,4.8,2,2.67,229
Michellemouth Roberts Kitchen,4.4,2,2.3,61
Port Carriemouth Zhang Kitchen,4.5,0,3.86,19
Jennifermouth Jackson House,4.1,1,5.79,659
North Chad Cherry House,4.8,2,11.9,5
Williamsmouth Orr House,4.4,3,9.32,19
Rhodesshire Hall Eatery,4.5,3,3.48,14
Elizabethport Huang Bakery,4.4,2,7.51,73
North Jamesmouth Stanley House,4.6,1,8.83,48
Pamelachester Schultz Bistro,4.4,2,7.45,105
South Erikchester Cowan Lounge,3.9,1,3.64,17
West Amberberg Mitchell Tapas,4.7,2,8.91,210
Jamietown Knox Lounge,4.2,1,11.55,22
Jamesmouth Hancock Kitchen,4.5,0,7.88,132
Lauraview Knox Grill,4.5,3,8.75,57
Masonmouth Martinez Bistro,4.6,3,2.84,115
Mccallfurt Henson Tapas,4.8,3,11.33,6
West James Jackson Eatery,4.6,2,7.6,31
Port William Barnett Lounge,3.7,2,4.77,81
Grahammouth Patterson House,4.2,1,9.51,13
Lake Jessica Edwards Café,4.2,2,4.24,32
Downsmouth Cameron Diner,4.3,2,4.62,6
East Alison Rodriguez Café,4.5,2,6.73,17
Jessicaview Buchanan Eatery,4.5,3,11.91,5
Port Deborahbury Robles Kitchen,4.4,3,8.81,29
Lake Jacqueline Mitchell Grill,4.4,1,7.77,42
Lake Ericmouth Bennett Lounge,3.5,3,6.13,30
New Melissahaven Hunter Grill,4.6,1,7.04,42
New Josephchester Sharp Bakery,4.2,0,5.24,65
Troyville Bowman Tapas,4.9,2,8.91,175
Katherineburgh Gonzales Tapas,3.8,2,12.8,72
Lewisfort Henderson Café,4.8,4,14.53,24
Robersonfort Rodriguez Grill,4.4,2,7.17,360
West Allisonmouth Garcia House,3.7,3,12.2,37
West Taraburgh Wilkerson Café,4.6,3,7.49,81
Patrickborough Robbins Tapas,4.4,2,5.68,13
Huntshire Hanson Lounge,4.6,1,6.91,13
Jonathanfort Matthews Bar,4.4,2,7.38,40
North Melissa Tate Bar,3.7,3,11.99,12
Millsborough Black Bakery,3.7,1,12.12,157
Monroechester Clarke Bar,4.8,3,4.15,19
East Melinda Williams Café,4.0,1,12.53,788
South Brian Price Grill,4.0,3,5.13,48
Port Edward Benitez Eatery,4.6,1,8.55,60
Rachelmouth Vega Bar,4.0,2,3.67,56
South Tiffany West Diner,3.9,1,12.58,52
Nancyshire Welch House,4.5,2,10.77,8
Maymouth Rice Kitchen,4.8,4,8.72,8
Ethanchester Taylor Tapas,4.2,2,8.73,392
West Jeffside Schmidt Diner,3.7,2,9.61,78
New Kristen Martinez Tapas,4.7,4,8.02,37
North Nicoleview Stone Diner,2.6,2,3.17,58
West Ashley Martinez Bistro,3.5,1,7.5,51
Jenniferton Chang Diner,4.1,3,10.02,14
New Adam Tyler Café,4.1,3,6.12,10
West Arthurville Jones House,3.9,2,10.36,41
Lake Monicaton Hernandez Bar,4.4,1,11.64,115
South Alexandra Crawford House,4.7,1,11.05,103
South Debra Johnson Tapas,4.5,1,10.29,33
Brookeview Evans Lounge,4.1,3,7.29,23
Onealshire Mccormick Bakery,4.2,3,6.84,131
West Richard Lopez Bar,4.4,2,10.12,908
Lake Robertmouth Moore Lounge,4.2,3,11.29,16
Anthonystad Lynch Bar,4.3,3,1.72,11
South Nicole Lowe Lounge,4.3,0,10.2,5
Lake Justin Anderson Bakery,4.6,3,7.33,98
South Thomasburgh Smith Café,4.4,4,12.37,50
Markport Benson Kitchen,4.8,1,3.36,5
Port Williamborough Walsh Bar,4.4,2,9.07,15
West Jamesberg Smith Lounge,4.0,4,9.87,5
West Madelinefort Hernandez Diner,4.5,4,8.06,150
Joshuafort James Diner,4.0,2,7.24,27
Port Allenshire Skinner Café,4.0,4,4.41,5
South Elizabeth Wiggins Kitchen,4.5,1,8.63,393
Spearsmouth Cooper Grill,4.9,2,8.06,5
South Tonyberg Jefferson House,4.8,2,5.17,10
Connieview Parker Grill,4.3,3,7.66,95
West Alexshire Wright Diner,4.3,1,6.15,48
South Jennifer Shields Bistro,4.5,2,0.46,134
Danielview Clark Eatery,4.4,2,11.11,40
North Walterville Logan House,4.5,3,10.37,212
North Matthew Mendez Tapas,4.8,3,5.89,5
Jerryburgh Kelly Diner,4.4,1,7.39,8
Lake David Cook Café,4.1,2,9.39,49
Morrishaven Dixon Tapas,4.6,2,6.93,252
New Sheilatown Miller Eatery,4.3,2,10.0,66
Lake Jamesview Mccoy Eatery,4.6,2,11.37,49
Lake Johnside Webb House,4.5,2,9.67,40
Heatherberg Pham Eatery,4.9,1,3.45,48
New Andrew White Eatery,4.3,1,7.33,47
Karaton Moses Eatery,3.8,0,13.05,87
Jorgeshire Davis Lounge,5.0,1,6.53,338
Laurenville Russell Eatery,4.0,2,10.55,67
Michaelstad Morgan Kitchen,4.3,1,6.5,25
Lake Mason Gonzalez Bar,3.9,2,7.28,23
East Regina Woodard Café,4.6,1,2.17,251
South John Cox Lounge,4.0,1,3.36,38
Fordmouth Gonzalez Tapas,4.8,2,6.97,9
Jesseburgh Simmons Grill,4.4,2,9.91,111
Warnerburgh Vincent Tapas,3.9,3,8.79,45
New Jillian Johnson Bakery,4.1,4,6.73,5
Tinaville Bates House,4.0,1,5.12,20
Meganview Hall Grill,3.8,1,10.35,27
South Laura Obrien Diner,4.3,1,5.9,60
East Ronaldhaven Smith Bar,3.3,1,8.07,33
South Mitchellstad Frey Lounge,4.3,1,8.4,73
New Ashleyview Tanner Bakery,4.2,3,7.98,6
Lozanomouth Carpenter Diner,4.4,3,5.14,99
Markton Rios Tapas,4.0,2,10.54,27
North Christopher Ray Bar,4.8,1,7.93,14
South Cheryl Dudley Bar,4.3,1,5.89,99
Lake Marco Brooks Grill,4.3,2,3.14,5
Ericmouth Becker Bar,4.2,2,7.36,5
Jenniferfurt White Tapas,4.8,3,4.9,31
West Karenborough Hayes Tapas,4.4,3,8.72,65
Port Marymouth Smith Kitchen,4.1,2,6.49,23
Ericton Hernandez Bistro,3.9,2,10.87,62
Port Peterborough Walker Grill,4.4,2,5.42,61
New Michelle Rodriguez Lounge,3.3,2,10.76,341
East Mark Thompson House,3.9,3,7.75,106
Lake Stacy Kent Eatery,3.7,3,6.27,147
Kristinmouth Morgan Diner,4.7,1,6.51,57
Murrayton Coleman Café,3.9,2,7.16,5
Johnbury Torres Bar,4.3,3,5.7,57
Shawnton Brown Eatery,4.0,2,13.48,45
South Davidton Medina Lounge,4.4,2,12.39,58
Michaelburgh Chavez Café,4.8,2,7.12,192
New Colleen Davenport Café,4.7,2,13.03,94
Jonesmouth Perkins Diner,4.3,2,9.76,20
New Christopherville Smith Café,4.3,0,4.93,40
Russellland Castillo Bar,3.8,1,5.77,83
Robertland Barnes Kitchen,4.0,4,9.84,22
Derektown Lynn Tapas,3.9,2,4.41,13
Wilsonfurt Pugh Eatery,3.1,2,2.65,11
Karenview Gray Lounge,4.5,1,3.21,185
Michellestad Johnson House,4.3,3,3.33,139
New Matthew Michael Kitchen,4.6,4,10.56,168
Carolstad Conrad Eatery,4.2,3,10.61,25
Lake John Murphy Kitchen,3.8,4,4.01,13
Masonburgh West Kitchen,4.5,0,8.81,66
Port Paulshire Simpson Lounge,4.8,2,8.65,17
North Jamesport White Kitchen,4.2,4,2.62,54
Hensonstad Santiago Grill,4.5,2,9.47,30
Jennifershire Maldonado Diner,4.4,2,3.65,18
Acostachester Bowman Bar,4.5,2,8.34,33
Brittanystad Coleman Bakery,4.1,3,9.64,72
Tylerburgh Brown Bakery,4.7,1,10.67,53
Jamesside Martin Tapas,4.7,2,12.89,30
East Christopher Riggs Diner,4.1,0,10.99,66
South Rebecca Camacho Kitchen,4.7,1,5.68,84
Heatherside Ortiz Kitchen,4.2,2,7.49,73
Kylemouth Brown Bar,3.9,2,1.01,47
Patriciafort Barajas Eatery,3.8,2,8.33,55
Port Christopherburgh Baker Café,4.9,1,10.56,71
Davidmouth Maddox Kitchen,4.3,3,9.34,14
North Dale Hawkins Lounge,4.5,2,11.65,8
New John Jenkins Bistro,4.8,2,11.59,37
Gomezchester Vega House,4.8,3,13.37,29
North Theresastad Hall House,4.4,2,4.58,93
Scottfurt Owen Grill,4.8,3,11.45,42
Davishaven Gomez Bakery,4.6,2,11.53,238
North Saraberg Lee Bakery,4.6,1,3.68,244
South Nathan Turner Bar,4.2,2,10.56,52
Guerrafurt Graham Grill,4.8,3,10.22,112
Hunterborough Thornton Café,4.5,1,9.91,14
Lake Heather Howard Kitchen,4.1,2,9.76,56
Lake Scottton Weaver Café,3.7,2,2.7,108
South James Kirk Lounge,3.5,1,5.09,119
Ramirezview Myers Kitchen,4.9,0,8.16,48
Perezchester Patterson Bistro,3.6,2,5.75,8
Morrisstad Douglas Kitchen,3.4,4,9.29,82
Elizabethland Galloway Diner,4.0,0,10.04,21
Evelyntown Thompson Café,4.6,3,13.88,43
Port Nicole Stephenson Grill,4.9,2,9.08,58
Kellistad Harmon Kitchen,4.2,1,8.73,26
Port Lisachester Mccarty Bakery,4.5,2,3.14,202
East Timothy Guerra Tapas,4.4,4,7.94,22
Port Cynthia Lopez Bakery,4.8,1,6.95,9
Williamsmouth Sharp Grill,4.3,2,7.6,102
Port Jonathan Walters Tapas,4.6,1,7.85,71
Johnsonview Duncan Café,4.7,2,4.12,247
Harrisberg Johnson Bistro,4.2,2,7.69,52
South Erikshire Parker Diner,4.7,2,9.91,22
Lake Christineside Salinas Lounge,4.8,1,0.43,5
Williamsberg Shelton Bar,4.2,2,5.61,9
South Kristenmouth Bates Kitchen,4.4,2,8.06,18
Lake Juanfort Cunningham House,4.3,1,9.04,6
New Tanya Butler Bar,4.9,2,11.37,5
New Randallchester Peters Eatery,3.4,3,5.18,22
Port Mike Ward Kitchen,4.6,3,11.66,25
Stevenfurt Collins Diner,4.3,3,7.97,229
Rodriguezmouth Stephens Lounge,4.2,2,7.75,308
Michaelland Meyer Kitchen,4.3,3,7.51,46
South Angelaberg Deleon Bar,4.6,1,12.39,28
Castilloberg Tran Café,3.8,2,5.2,25
Anthonyside Perez Diner,4.1,2,7.08,8
Lake Manuelburgh Yu House,4.8,0,3.15,29
New Kimberly Griffin Café,3.4,3,4.14,87
West Tinastad Marquez Grill,4.2,2,5.28,27
South Benjamin Bowman Bar,3.8,2,9.46,103
Lake Kristibury Perez Café,4.0,1,11.03,16
Moorehaven Smith House,4.3,2,10.24,40
Ronaldbury Edwards Bistro,4.7,2,5.21,16
South Deborahland Farrell Diner,4.7,2,2.22,8
East Carrie Thompson Bakery,4.4,2,9.87,59
Ewingbury Black Bar,4.8,3,10.4,46
Joneshaven Padilla Tapas,4.6,1,3.49,15
Port Kayla Salinas Grill,4.5,3,4.94,317
Crystalborough Garza Eatery,4.6,1,6.89,67
Port James Burgess Café,4.4,2,6.81,114
West Eugeneside Mooney Bakery,4.2,1,2.92,84
Villarrealmouth Adams Bistro,4.1,1,5.49,143
South Evelynborough Brooks Diner,4.7,0,8.38,8
Schmidtfurt Schroeder Café,4.6,3,2.77,10
Harrisstad Franklin Café,4.4,1,10.36,107
South Kristen Richard Bar,4.4,3,6.72,7
Andrewmouth Gonzalez Kitchen,4.5,2,0.91,10
West Mary Ferrell Grill,5.0,3,4.8,8
North Jamesfort Cooper Grill,4.7,1,9.93,26
Port Tyler Craig Bistro,4.5,4,12.87,59
New James Odonnell Lounge,3.6,1,8.95,87
Jacquelineborough Finley Diner,4.1,1,1.56,25
West Brandi Fitzgerald Bistro,3.5,2,7.79,80
New Charlesview Larson Bar,4.5,3,9.13,5
Sanchezfort Cruz Café,4.0,3,9.0,5
South Michael Stark Bar,4.5,2,4.33,17
Jenniferview Kemp Bakery,4.8,2,8.59,24
Gomezland Randolph Bistro,4.0,1,10.27,5
West Tonyashire Nichols Grill,4.2,2,8.89,14
Francismouth Anderson Bistro,3.8,2,8.26,30
Thomasstad Weaver Diner,3.7,1,7.75,8
New Benjamin Reed Café,4.9,2,9.45,9
Ronnieton Sloan Lounge,4.3,2,10.46,117
Port Jeremy Lopez Café,4.9,1,11.0,31
Elizabethville Williams Kitchen,3.9,2,9.86,6
New Mirandaside Cummings Eatery,4.7,2,10.33,30
Robertshaven Murphy Bar,4.4,1,9.44,221
Rebeccaside Lindsey Tapas,4.6,3,11.15,32
Whitakerview Olson Tapas,4.1,3,7.92,27
Sandraberg Lowery Eatery,4.6,2,2.9,5
Christopherfurt York Tapas,4.1,2,5.9,437
East Christopherbury Potts Café,4.1,2,11.38,14
New Jenniferbury Bennett Diner,4.1,2,6.7,66
Jenniferchester Lee House,4.4,2,6.28,203
Brandonland Lopez Bakery,4.7,2,8.95,27
New Jasonville Chandler Diner,4.3,3,1.2,191
Masseyland Brown Kitchen,3.6,2,8.83,21
Jenniferville Lewis Grill,4.5,1,1.44,16
Port Heatherchester Montgomery Kitchen,4.0,1,10.77,40
Susanland Monroe Bar,3.9,3,10.36,162
Julieshire Fuller Bakery,4.3,1,9.64,31
Heatherbury Gray House,4.0,1,8.33,10
Robertmouth Scott House,4.6,3,9.7,8
Alanbury Peterson Bistro,4.0,1,11.01,5
West Pattybury Davis House,4.4,2,5.36,39
North Maryton Mckinney Eatery,3.7,2,8.0,9
Butlerfurt Moore Lounge,4.6,1,6.05,7
Steeleside Williams Diner,4.7,1,12.57,526
Lake Brittanyfurt Robbins Grill,4.6,4,10.11,9
Katherineshire Roberts House,4.8,2,8.96,50
North Dawn Daniel Grill,4.6,1,5.99,35
Kennethstad Garcia Grill,4.4,1,12.53,19
Lake Amanda Moore Eatery,4.7,3,3.95,5
North Monica Irwin Café,4.5,1,5.19,100
Joyceton Mitchell Tapas,4.3,2,12.39,14
New Kyleville Cox House,4.8,3,1.22,282
Port Debbieview Harris Kitchen,4.1,2,6.07,5
Brittanystad Sullivan Bar,3.3,3,10.6,11
Port Ginaside Clark Café,4.7,3,5.56,34
Cunninghamstad Miller Grill,4.5,0,2.95,36
Hernandezbury Moore Grill,4.6,2,5.72,43
North Jamesberg Holt Kitchen,4.6,2,8.52,15
Perezberg White Eatery,3.1,1,5.4,25
Robertborough White Kitchen,4.9,1,8.35,224
North Stephanie Goodwin Diner,3.8,2,12.04,14
Port Brandon Avila Bakery,4.7,1,10.23,7
East Alexisport Wilson House,4.4,2,8.14,5
Jeromemouth Long Café,4.2,2,11.39,31
West James Martin Kitchen,4.5,1,11.87,43
Port Elizabeth Bates Café,4.3,1,8.14,44
Josephview Bowers Diner,4.4,2,9.75,97
Maryfurt Davis Tapas,3.3,2,8.61,37
Cassandraton Harper House,3.5,2,1.78,62
Burnsberg Haney Eatery,4.7,1,1.79,29
Gonzalesside Campbell House,4.9,2,8.22,70
Ronnieport Knight Bakery,3.7,2,0.43,161
Batesfurt Brooks Bakery,4.6,3,5.9,9
Matthewfurt Thomas Grill,4.4,2,2.56,148
Jillport Berg Bistro,4.7,1,3.83,111
New Michaelstad Vazquez Diner,4.4,1,7.11,9
West Ian Hanson Eatery,3.4,0,9.52,81
Kennethport Jones Tapas,3.9,1,10.0,17
West Davidshire Jones Bistro,4.4,2,7.56,85
Lucasberg Miller Bakery,4.1,2,10.94,42
South Brookeshire Guerrero Bistro,4.5,2,13.36,52
West Christopher Ray Café,3.8,3,1.57,86
Marcusburgh Drake Kitchen,4.2,1,4.54,44
West Haroldberg Serrano Lounge,4.8,3,14.05,33
Jamesmouth Walsh Grill,5.0,0,5.93,6
West Larry Graham Diner,4.1,3,9.92,43
South Yolanda Lynn Lounge,4.1,2,7.21,791
Shannonland Thompson Eatery,4.6,1,11.48,17
South Bradley Lyons Kitchen,3.9,3,8.56,136
Port Gary Johnson Grill,4.4,2,1.68,29
Port Sean Parker Bar,4.3,2,11.08,14
Courtneyside Brown Lounge,4.1,0,6.59,136
Rowebury Jackson Bar,4.7,2,3.1,15
West Karen Carpenter Lounge,4.6,2,8.95,13
East Spencertown Collins Kitchen,4.3,0,10.19,5
Julieborough Lewis Tapas,4.2,1,9.39,34
West Joshuaview Hernandez Tapas,4.6,1,9.23,708
North Andrew Williams Tapas,3.4,1,6.17,170
West Julianfurt Newman Bistro,4.6,1,1.57,104
Castilloborough Smith Grill,4.5,2,7.69,5
East Anna Patel Diner,4.1,1,5.23,115
Anthonyville Luna Bakery,4.0,3,13.86,10
Alexisfurt Palmer Tapas,4.7,4,9.56,124
Danielchester Mercado Diner,3.5,2,3.48,234
Diazburgh Bailey Bistro,3.7,3,0.88,14
Kathleenfort Mendoza Diner,4.1,2,2.32,31
Jonesville Rose House,4.6,3,9.45,10
Duffyfort Velez Diner,4.8,2,3.74,21
Lake Emmahaven Smith Tapas,4.6,2,7.3,30
